column_name,missing_count,missing_percentage,blank_string_count,sentinel_missing_count,effective_missing_count,effective_missing_percentage
LAW_CAT_CD,864,0.609,0,5,869,0.6125
KY_CD,24,0.0169,0,0,24,0.0169
OFNS_DESC,0,0.0,0,24,24,0.0169
PD_DESC,0,0.0,0,24,24,0.0169
LAW_CODE,0,0.0,0,5,5,0.0035
PD_CD,5,0.0035,0,0,5,0.0035
AGE_GROUP,0,0.0,0,0,0,0.0
ARREST_BORO,0,0.0,0,0,0,0.0
ARREST_DATE,0,0.0,0,0,0,0.0
ARREST_KEY,0,0.0,0,0,0,0.0
ARREST_PRECINCT,0,0.0,0,0,0,0.0
GEOCODED_COLUMN,0,0.0,0,0,0,0.0
JURISDICTION_CODE,0,0.0,0,0,0,0.0
LATITUDE,0,0.0,0,0,0,0.0
LONGITUDE,0,0.0,0,0,0,0.0
PERP_RACE,0,0.0,0,0,0,0.0
PERP_SEX,0,0.0,0,0,0,0.0
X_COORD_CD,0,0.0,0,0,0,0.0
Y_COORD_CD,0,0.0,0,0,0,0.0
