month_start,month_label,severity,arrest_count,share_of_monthly_arrests_pct,share_of_classified_pct,month_classified_count,month_total_arrests,classified_coverage_pct,is_partial_month
2026-01-01,Jan 2026,Felony,9206,39.104579,39.348607,23396,23542,99.379832,False
2026-01-01,Jan 2026,Misdemeanor,13751,58.410500,58.775004,23396,23542,99.379832,False
2026-01-01,Jan 2026,Violation,439,1.864752,1.876389,23396,23542,99.379832,False
2026-01-01,Jan 2026,Other or missing,146,0.620168,,23396,23542,99.379832,False
2026-02-01,Feb 2026,Felony,8201,38.924486,39.259898,20889,21069,99.145664,False
2026-02-01,Feb 2026,Misdemeanor,12314,58.446058,58.949686,20889,21069,99.145664,False
2026-02-01,Feb 2026,Violation,374,1.775120,1.790416,20889,21069,99.145664,False
2026-02-01,Feb 2026,Other or missing,180,0.854336,,20889,21069,99.145664,False
2026-03-01,Mar 2026,Felony,9484,38.402980,38.726011,24490,24696,99.165857,False
2026-03-01,Mar 2026,Misdemeanor,14696,59.507613,60.008167,24490,24696,99.165857,False
2026-03-01,Mar 2026,Violation,310,1.255264,1.265823,24490,24696,99.165857,False
2026-03-01,Mar 2026,Other or missing,206,0.834143,,24490,24696,99.165857,False
2026-04-01,Apr 2026,Felony,9828,39.110191,39.406576,24940,25129,99.247881,False
2026-04-01,Apr 2026,Misdemeanor,14813,58.947829,59.394547,24940,25129,99.247881,False
2026-04-01,Apr 2026,Violation,299,1.189860,1.198877,24940,25129,99.247881,False
2026-04-01,Apr 2026,Other or missing,189,0.752119,,24940,25129,99.247881,False
2026-05-01,May 2026,Felony,9824,39.095829,39.632080,24788,25128,98.646928,False
2026-05-01,May 2026,Misdemeanor,14679,58.416905,59.218170,24788,25128,98.646928,False
2026-05-01,May 2026,Violation,285,1.134193,1.149750,24788,25128,98.646928,False
2026-05-01,May 2026,Other or missing,340,1.353072,,24788,25128,98.646928,False
2026-06-01,Jun 2026,Felony,9108,40.832063,41.450872,21973,22306,98.507128,False
2026-06-01,Jun 2026,Misdemeanor,12676,56.827759,57.688982,21973,22306,98.507128,False
2026-06-01,Jun 2026,Violation,189,0.847306,0.860147,21973,22306,98.507128,False
2026-06-01,Jun 2026,Other or missing,333,1.492872,,21973,22306,98.507128,False
