column_name,inferred_dtype,non_null_count,null_count,null_percentage,unique_count
ARREST_KEY,int64,141870,0,0.0,141870
ARREST_DATE,object,141870,0,0.0,181
PD_CD,float64,141865,5,0.0035,247
PD_DESC,object,141870,0,0.0,233
KY_CD,float64,141846,24,0.0169,68
OFNS_DESC,object,141870,0,0.0,58
LAW_CODE,object,141870,0,0.0,969
LAW_CAT_CD,object,141006,864,0.609,6
ARREST_BORO,object,141870,0,0.0,5
ARREST_PRECINCT,int64,141870,0,0.0,78
JURISDICTION_CODE,int64,141870,0,0.0,23
AGE_GROUP,object,141870,0,0.0,5
PERP_SEX,object,141870,0,0.0,2
PERP_RACE,object,141870,0,0.0,7
X_COORD_CD,int64,141870,0,0.0,23864
Y_COORD_CD,int64,141870,0,0.0,25187
LATITUDE,float64,141870,0,0.0,28237
LONGITUDE,float64,141870,0,0.0,28275
GEOCODED_COLUMN,object,141870,0,0.0,28866
