precinct,arrest_records,share_pct
75,5341,3.764714174948897
14,4382,3.088743215619934
40,4061,2.862479734968633
46,3951,2.784943962782829
44,3882,2.7363078875026434
103,3837,2.704588707972087
73,3524,2.4839641925706633
52,3409,2.4029040671036865
47,3084,2.1738211038274478
110,3001,2.1153168393599775
67,2964,2.0892366250792977
18,2740,1.9313455980827519
120,2715,1.9137238316768872
43,2643,1.8629731444279976
60,2515,1.772749700429971
42,2488,1.7537181927116374
84,2468,1.7396207795869458
115,2453,1.729047719743427
109,2452,1.7283428490871926
114,2353,1.658560654119969
79,2345,1.6529216888700924
41,2306,1.6254317332769437
5,2199,1.5500105730598435
83,2183,1.5387326425600902
48,2114,1.490096567279904
70,2079,1.465426094311694
113,2014,1.419609501656446
13,1991,1.4033974765630506
1,1924,1.3561711425953338
34,1895,1.335729893564531
77,1826,1.2870938182843448
72,1804,1.271586663847184
102,1781,1.2553746387537887
78,1692,1.192641150348911
49,1673,1.179248607880454
25,1663,1.1721999013181081
45,1661,1.170790160005639
62,1605,1.1313174032565025
32,1601,1.1284979206315642
28,1508,1.062944949601748
81,1505,1.0608303376330444
71,1489,1.0495524071332911
33,1462,1.0305208994149573
50,1412,0.9952773666032283
23,1397,0.9847043067597095
106,1385,0.9762458588848946
90,1377,0.970606893635018
69,1334,0.940297455416931
107,1319,0.9297243955734122
112,1292,0.9106928878550786
116,1280,0.9022344399802636
101,1251,0.8817931909494607
68,1239,0.8733347430746458
104,1223,0.8620568125748925
121,1218,0.8585324592937196
108,1185,0.8352717276379784
61,1178,0.8303376330443364
7,1159,0.8169450905758793
9,1151,0.8113061253260027
63,1135,0.8000281948262494
105,1118,0.7880453936702615
19,1085,0.7647846620145203
10,1064,0.7499823782335941
66,1043,0.735180094452668
24,1029,0.7253119052653838
30,902,0.635793331923592
88,896,0.6315641079861846
6,881,0.6209910481426658
20,756,0.5328822161133432
76,747,0.526538380207232
122,737,0.5194896736448862
26,639,0.45041234933389723
100,631,0.44477338408402056
94,575,0.40530062733488403
17,560,0.39472756749136534
111,551,0.38838373158525413
123,499,0.3517304574610559
22,39,0.02748995559314866
