n_estimators,max_depth,min_samples_leaf,mean_test_f1_macro,std_test_f1_macro,rank,mean_fit_seconds,mean_score_seconds
200,,5,0.4786650862454618,0.004225731312306648,1,25.268824911117555,0.31197476387023926
200,30,5,0.47802074754290713,0.004142365890286631,2,23.853889656066894,0.3060089111328125
400,,5,0.4775045980282947,0.003124450586011441,3,56.447016906738284,0.552816104888916
400,30,5,0.4767522180387216,0.0042224444523958895,4,42.67952513694763,0.42991437911987307
400,15,1,0.47659647962984114,0.0055957421996583835,5,42.304957485198976,0.4416840076446533
200,15,1,0.47657323312520694,0.005109465261481102,6,23.06354179382324,0.2769052982330322
400,30,1,0.4607047927967273,0.014096714418513047,7,129.17681798934936,0.4744442939758301
200,30,1,0.46059801785274396,0.014542335412236252,8,74.53676996231079,0.4300240993499756
200,15,5,0.45068242758354,0.007262600589020043,9,12.181752920150757,0.2250743865966797
400,15,5,0.4500217322661615,0.006915991411678581,10,23.872274541854857,0.4028002262115479
400,,1,0.44582592090114337,0.013214242691941965,11,193.22937574386597,0.9300559997558594
200,,1,0.4455212905137703,0.010283256778252606,12,93.52440772056579,0.5219861507415772
