feature,category,p_felony
Age group,<18,0.6173961782322728
Age group,18-24,0.4679757439926325
Age group,25-44,0.44501652973275313
Age group,45-64,0.4346097958063774
Age group,65+,0.4366117880998679
Borough,Bronx,0.4343282057487596
Borough,Brooklyn,0.4469106334697539
Borough,Manhattan,0.4358758408327184
Borough,Queens,0.4424994542646565
Borough,Staten Island,0.4401962698245131
Month,Jan,0.45201791698021787
Month,Feb,0.45143967234654314
Month,Mar,0.4471411599479918
Month,Apr,0.44802825368807797
Month,May,0.4549227276442524
Month,Jun,0.4629873835090399
